Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0284130316166329",0,"-0,037055289412498",0,0,0,"26,5470635630031","0,146794905291758","1,63338502818567E-16","-0,00569598484228597","0,547039589773236","1,08207180453233E-17","0,653896621352249",0,0,0,0,0,0,package://Full_robot_urdf/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/base_link.STL,,BODY-1,Base_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Shoulder1_link,"0,0425232933845158","-0,000261252925516098","0,0234811427090857",0,0,0,"0,446431851564578","0,000346699615288805","2,03833673178776E-06","-0,000113625282898098","0,000533711748532718","7,60304933744619E-07","0,00068393682667711",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder1_link.STL,,Full_leg-1/SHOULDER-1,Coord_shoulder_1,Z_shoulder_1,Shoulder1_joint,revolute,"-0,20313","0,125","-0,055","3,1416",0,"1,5423",base_link,0,0,-1,10,4,"2,09","3,66",,,,,,,,
Waist1_link,"0,0725080394079287","7,7715611723761E-15","-0,0124999999999997",0,0,0,"0,591365572491094","0,000192326305141676","-6,98802181484798E-19","-6,81861522539712E-20","0,00305489019743548","-2,11758236813575E-20","0,00320512013282677",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist1_link.STL,,Full_leg-1/LEG1-1,Coord_Waist_1,Z_waist_1,Waist1_joint,revolute,"0,06","-0,0125","0,03","1,5708","0,056944",0,Shoulder1_link,0,0,-1,10,4,0,"1,22",,,,,,,,
Knee1_link,"-0,0050624418008357","0,101001873832838","-0,0125000053341605",0,0,0,"0,215434223021017","0,000815108435315712","6,20387386315345E-05","-7,22756824939589E-11","4,3953630532163E-05","7,63119432850565E-11","0,000832986526105727",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee1_link.STL,,Full_leg-1/LEG2-1,Coord_knee_1,Z_knee_1,Knee1_joint,revolute,"0,195",0,0,0,0,0,Waist1_link,0,0,-1,10,4,"1,05","4,54",,,,,,,,
Shoulder2_link,"0,0425232933845229","-0,000261252925515487","0,0234811427090857",0,0,0,"0,446431851564578","0,000346699615288805","2,03833673178763E-06","-0,000113625282898098","0,000533711748532718","7,60304933744541E-07","0,000683936826677109",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder2_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder2_link.STL,,Full_leg-2/SHOULDER-1,Coordinate System9,Z_shoulder_2,Shoulder2_joint,revolute,"-0,20313","-0,125","-0,055","3,1416",0,"-1,5058",base_link,0,0,-1,10,4,"2,09","3,66",,,,,,,,
Waist2_link,"0,0724631584146513","-0,00255077465818149","-0,0125",0,0,0,"0,591365572491094","0,000195868945386368","0,000100640368381385","7,85199542104736E-19","0,00305134755719079","-2,93141071993124E-20","0,00320512013282678",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist2_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist2_link.STL,,Full_leg-2/LEG1-1,Coord_waist_2,Z_waist_2,Waist2_joint,revolute,"0,06","-0,0125","0,03","1,5708",0,0,Shoulder2_link,0,0,-1,10,4,0,"1,22",,,,,,,,
Knee2_link,"-0,00676064409002064","0,10090242766993","-0,0124999854441368",0,0,0,"0,215434206022005","0,000812803464483711","7,49730623373882E-05","-7,14215684105579E-11","4,62585740921012E-05","3,81104825477536E-11","0,000832986494370386",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee2_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee2_link.STL,,Full_leg-2/LEG2-1,Coord_knee_2,Z_knee_2,Knee2_joint,revolute,"0,19488","-0,0068599",0,0,0,"-0,035186",Waist2_link,0,0,-1,10,4,"1,05","4,54",,,,,,,,
Shoulder3_link,"0,042523293384519","-0,000261252925511476","0,0234811427090857",0,0,0,"0,446431851564578","0,000346699615288805","2,0383367317876E-06","-0,000113625282898098","0,000533711748532718","7,60304933744661E-07","0,00068393682667711",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder3_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Shoulder3_link.STL,,Full_leg-3/SHOULDER-1,Coord_shoulder_3,Z_shoulder_3,Shoulder3_joint,revolute,"0,19187","-0,125","-0,055","3,1416",0,"-1,5761",base_link,0,0,-1,10,4,"2,09","3,66",,,,,,,,
Waist3_link,"0,0725080254304402","-2,81011075520254E-10","-0,0125000005523184",0,0,0,"0,591365572491093","0,000192326305141675","-6,62177791440656E-12","-1,35847402098527E-11","0,00305489019743547","-2,81395044692189E-14","0,00320512013282677",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist3_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Waist3_link.STL,,Full_leg-3/LEG1-1,Coord_waist_3,Z_waist_3,Waist3_joint,revolute,"0,06","-0,0125","0,03","1,5708","0,041517",0,Shoulder3_link,0,0,-1,10,4,0,"1,22",,,,,,,,
Knee3_link,"-0,00760671615583863","0,100842174540015","-0,0125000055791627",0,0,0,"0,215434207319039","0,000811491910537708","8,13916830418142E-05","-7,484921917098E-11","4,75701291302227E-05","7,70827957905519E-11","0,000832986495885628",0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee3_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Full_robot_urdf/meshes/Knee3_link.STL,,Full_leg-3/LEG2-1,Coord_knee_3,Z_knee_3,Knee3_joint,revolute,"0,195",0,0,0,0,0,Waist3_link,0,0,-1,10,4,"1,05","4,54",,,,,,,,
